transaction_id,customer_id,account_id,transaction_datetime,transaction_amount,merchant_name,merchant_category,payment_channel,device_type,device_id,ip_address,customer_age,customer_tenure_months,customer_city,customer_country,account_balance,failed_transactions_last_24h,transactions_last_24h,transactions_last_30d,avg_transaction_amount_30d,distance_from_home_km,is_international,is_new_device
TXN1000000,CUST500000,ACC700000,2026-02-01 23:23:02.231586,610.56,eBay,Food,Debit Card,Android,DEV979234,162.184.68.50,75.0,10,Delhi,India,569307.37,8,21,175,63921.29,2394.94,0,1
TXN1000001,CUST500001,ACC700001,2025-07-12 02:51:05.578281,4901.74,Walmart,Retail,Net Banking,Android,DEV726628,145.113.97.199,42.0,18,Hyderabad,India,10885.97,11,28,53,67914.36,1391.47,0,0
TXN1000002,CUST500002,ACC700002,2026-03-14 02:00:02.745930,2399.41,Google Play,Food,Mobile Wallet,MacBook,DEV378209,198.135.232.53,48.0,10,Mumbai,India,1153423.33,5,33,248,15594.0,9133.54,0,1
TXN1000003,CUST500003,ACC700003,2026-03-28 07:16:03.586204,400.9,Uber,E-commerce,Mobile Wallet,Tablet,DEV973999,109.132.208.17,49.0,134,Vijayawada,India,1003036.86,5,32,17,63565.9,9681.77,0,0
TXN1000004,CUST500004,ACC700004,2025-09-18 00:54:31.047996,1013.74,Walmart,Travel,Debit Card,Tablet,DEV510195,190.187.253.62,74.0,19,Singapore,Singapore,1084946.87,6,36,173,1321.49,8793.03,1,1
TXN1000005,CUST500005,ACC700005,2026-04-28 07:57:49.025590,9427.97,Apple,Food,Mobile Wallet,Tablet,DEV858816,86.51.5.28,70.0,16,Kolkata,India,958562.46,7,40,120,40858.34,14710.12,0,0
TXN1000006,CUST500006,ACC700006,2025-03-25 06:48:03.073007,159.7,Uber,Food,UPI,Android,DEV241272,176.193.44.125,47.0,50,Paris,France,32492.17,12,22,140,71604.94,9514.03,1,0
TXN1000007,CUST500007,ACC700007,2025-05-05 06:00:18.852022,1177.43,Microsoft,Travel,UPI,Android,DEV554243,202.231.73.40,75.0,3,Delhi,India,1193806.1,6,4,280,52096.02,6063.11,0,1
TXN1000008,CUST500008,ACC700008,2026-02-16 12:18:54.536992,6412.06,Amazon,Entertainment,Debit Card,,DEV465289,198.213.208.88,19.0,164,Ahmedabad,India,954489.8,2,26,33,53857.07,10185.78,0,1
TXN1000009,CUST500009,ACC700009,2024-06-30 07:23:22.127719,759.96,Target,E-commerce,UPI,Tablet,DEV506017,219.111.53.237,52.0,79,London,UK,220062.71,10,18,200,27699.77,8023.81,1,1
