transaction_id,customer_id,account_id,transaction_datetime,transaction_amount,merchant_name,merchant_category,payment_channel,device_type,device_id,ip_address,customer_age,customer_tenure_months,customer_city,customer_country,account_balance,failed_transactions_last_24h,transactions_last_24h,transactions_last_30d,avg_transaction_amount_30d,distance_from_home_km,is_international,is_new_device,row_id,transaction_date,transaction_time,transaction_dt,day_name,month_name,transaction_year,is_weekend,transaction_period,risk_score,customer_segment,transaction_category,fraud_flag
TXN1000035,CUST500035,ACC700035,"2026-01-01 13:11:03",1519.85,"Google play",E-commerce,"Debit Card",MacBook,DEV346391,154.82.131.26,18.0,24,Dubai,UAE,1258371.04,9,6,226,62814.77,12264.25,1,1,1,2026-01-01,13:11:03,"2026-01-01 13:11:03",Thursday,January,2026,0,Afternoon,137.00,Premium,Medium,"High Risk"
TXN1000105,CUST500105,ACC700105,"2025-07-07 10:09:16",1870.84,Uber,Electronics,"Credit Card",Android,DEV553034,145.13.122.134,61.0,23,Paris,France,545184.45,11,3,3,68034.02,14868.98,1,0,2,2025-07-07,10:09:16,"2025-07-07 10:09:16",Monday,July,2025,0,Morning,136.00,Gold,Medium,"High Risk"
TXN1000175,CUST500175,ACC700175,"2025-10-31 12:06:20",7878.79,Ebay,Food,"Debit Card",MacBook,DEV275877,170.144.116.123,51.0,60,Kolkata,India,1252706.26,3,1,32,4745.81,14821.91,0,0,3,2025-10-31,12:06:20,"2025-10-31 12:06:20",Friday,October,2025,0,Afternoon,32.00,Premium,Medium,"Medium Risk"
TXN1000000,CUST500000,ACC700000,"2026-02-01 23:23:02",610.56,Ebay,Food,"Debit Card",Android,DEV979234,162.184.68.50,75.0,10,Delhi,India,569307.37,8,21,175,63921.29,2394.94,0,1,4,2026-02-01,23:23:02,"2026-02-01 23:23:02",Sunday,February,2026,1,Evening,137.00,Gold,Low,"High Risk"
TXN1000036,CUST500036,ACC700036,"2025-10-09 03:27:53",1813.20,Target,Electronics,"Net Banking",Android,DEV535535,171.128.145.117,31.0,62,Toronto,Canada,1373730.01,12,26,67,60240.34,1257.83,1,1,5,2025-10-09,03:27:53,"2025-10-09 03:27:53",Thursday,October,2025,0,Night,207.00,Premium,Medium,"High Risk"
TXN1000106,CUST500106,ACC700106,"2024-10-29 09:35:22",2163.64,Samsung,Travel,"Mobile Wallet",iPhone,DEV423303,64.133.116.109,52.0,44,Kolkata,India,781715.83,8,2,155,21618.67,5838.21,0,0,6,2024-10-29,09:35:22,"2024-10-29 09:35:22",Tuesday,October,2024,0,Morning,84.00,Gold,Medium,"High Risk"
TXN1000001,CUST500001,ACC700001,"2025-07-12 02:51:05",4901.74,Walmart,Retail,"Net Banking",Android,DEV726628,145.113.97.199,42.0,18,Hyderabad,India,10885.97,11,28,53,67914.36,1391.47,0,0,7,2025-07-12,02:51:05,"2025-07-12 02:51:05",Saturday,July,2025,1,Night,166.00,Regular,Medium,"High Risk"
TXN1000176,CUST500176,ACC700176,"2026-05-16 08:34:24",2458.69,Airbnb,Travel,"Net Banking",Windows,DEV380761,190.21.82.73,43.0,135,Pune,India,799412.47,0,38,121,67993.42,11300.41,0,0,8,2026-05-16,08:34:24,"2026-05-16 08:34:24",Saturday,May,2026,1,Morning,76.00,Gold,Medium,"High Risk"
TXN1000037,CUST500037,ACC700037,"2025-03-13 18:38:39",3598.32,Target,Travel,UPI,Android,DEV227942,19.99.1.236,68.0,146,Pune,India,591139.32,9,3,279,53602.02,13125.41,0,1,9,2025-03-13,18:38:39,"2025-03-13 18:38:39",Thursday,March,2025,0,Evening,111.00,Gold,Medium,"High Risk"
TXN1000107,CUST500107,ACC700107,"2025-07-20 23:50:23",280.91,Alibaba,Retail,"Debit Card",Android,DEV667345,104.117.176.216,31.0,12,Kolkata,India,799367.90,8,39,236,38930.22,1910.39,0,1,10,2025-07-20,23:50:23,"2025-07-20 23:50:23",Sunday,July,2025,1,Evening,173.00,Gold,Low,"High Risk"
